Image, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,emotion
anger1,0.8,1.02,1.94,0.37,0.07,2.51,0,0,0,0,0,2.16,0.28,0.35,1.02,1.73,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1
anger2,0.68,0.96,1.97,0.38,0.14,2.4,0,0,0,0,0,2.09,0.37,0.24,0.97,1.81,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1
anger3,0.41,0.62,1.77,0.26,0.12,1.86,0,0,0,0,0,1.52,0.29,0.19,0.72,1.51,0.19,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1
anger4,0.18,0.31,1.54,0.16,0.07,1.43,0,0,0,0,0,1.03,0.16,0.23,0.45,1.05,0.38,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1
anger5,0,0,1.35,0,0,0.8,0,0,0,0,0,0.64,0.01,0.22,0.12,0.62,0.57,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1
anger6,0,0,1.27,0,0,0.82,0,0,0,0,0.34,0.95,0.36,0.16,0.25,0.56,0.38,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1
anger7,0.03,0,1.26,0,0,0.75,0,0,0,0,0.74,1.27,0.66,0.07,0.48,0.59,0.19,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
anger8,0.04,0,1.28,0,0.01,0.95,0,0,0,0,1.03,1.62,0.93,0.04,0.69,0.52,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
anger9,0.24,0,1.45,0.06,0.01,0.63,0,0,0,0,0.69,1.46,0.89,0.04,0.51,0.75,0.13,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
anger10,0.45,0.03,1.53,0.14,0.01,0.39,0,0,0,0,0.4,1.14,0.96,0.04,0.26,0.99,0.24,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
anger11,0.69,0.1,1.57,0.22,0,0,0,0,0,0,0.19,0.75,1.04,0,0.04,1.34,0.36,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
anger12,0.49,0.1,1.71,0.17,0,0.07,0.38,0,0,0.28,0.45,0.6,0.73,0,0.45,1.19,0.23,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
anger13,0.24,0.06,1.92,0.08,0.04,0.18,0.81,0.07,0,0.64,0.62,0.67,0.37,0.04,0.84,1.06,0.12,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
anger14,0,0,2.16,0,0.13,0.18,1.17,0.17,0,1,0.73,0.8,0.02,0.07,1.2,0.91,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
anger15,0,0,1.48,0,0.13,0.49,0.9,0.17,0,0.99,0.47,0.65,0.06,0.09,0.74,0.65,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
anger16,0,0,0.75,0,0.09,0.82,0.68,0.09,0,0.93,0.24,0.39,0.16,0.07,0.36,0.4,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1
anger17,0,0,0,0,0,1.23,0.51,0,0,0.91,0.07,0.16,0.32,0.06,0,0.14,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1
anger18,0,0,0.67,0,0.11,1.29,0.56,0,0,0.64,0.07,0.31,0.51,0.04,0.21,0.56,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
anger19,0,0,1.29,0,0.22,1.13,0.44,0,0,0.33,0.03,0.42,0.68,0.02,0.41,0.97,0.03,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
anger20,0,0,1.93,0,0.29,1.13,0.38,0,0,0,0,0.49,0.73,0,0.58,1.36,0.04,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
anger21,0,0,1.53,0,0.18,0.97,0.22,0,0,0,0,0.34,0.54,0,0.49,1.27,0.12,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
anger22,0,0,1.28,0,0.08,1.07,0.13,0,0,0,0,0.19,0.29,0,0.44,1.2,0.27,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
anger23,0,0,0.93,0,0,1.01,0,0,0,0,0,0,0.1,0,0.39,1.2,0.42,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
anger24,0,0,0.75,0,0,1.8,0.29,0,0,0,0.01,0.22,0.04,0.13,0.27,0.92,0.35,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
anger25,0,0,0.47,0,0,2.43,0.61,0,0,0,0.04,0.5,0.01,0.24,0.12,0.72,0.18,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
anger26,0,0,0.34,0,0,3.19,0.92,0,0,0,0.05,0.8,0,0.37,0,0.45,0.02,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
anger27,0.12,0,0.25,0,0,2.91,0.63,0,0.01,0.12,0.03,0.98,0,0.25,0.3,0.35,0.02,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
anger28,0.2,0,0.15,0,0,2.74,0.31,0,0.01,0.14,0,1.08,0,0.13,0.4,0.23,0.01,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
anger29,0.27,0,0,0,0,2.36,0,0,0.01,0.15,0,1.14,0,0,0.59,0.18,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
anger30,0.3,0.02,0.46,0.11,0,1.99,0,0,0,0.03,0.11,0.92,0.04,0,0.83,0.27,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
anger31,0.42,0.23,0.91,0.29,0,1.6,0,0,0,0.02,0.12,0.68,0.04,0.05,1.18,0.37,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
anger32,0.48,0.23,1.35,0.47,0,1.19,0,0,0,0,0.26,0.58,0.16,0.13,1.46,0.49,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
anger33,0.33,0.21,1.13,0.35,0,1.02,0,0,0,0,0.15,0.62,0.13,0.13,1.23,0.87,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
anger34,0.12,0,0.92,0.18,0,0.93,0,0,0,0,0.23,0.58,0.12,0.09,1.06,1.18,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
anger35,0,0,0.8,0,0,0.82,0,0,0,0,0.12,0.45,0,0,1.01,1.48,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
anger36,0,0,1.28,0,0,0.56,0.02,0,0,0,0.31,0.56,0,0.03,0.87,1.18,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
anger37,0,0,1.73,0,0,0.24,0.02,0,0,0.05,0.43,0.73,0,0.08,0.72,0.81,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
anger38,0,0,2.1,0,0,0,0.02,0,0,0.11,0.65,0.95,0,0.11,0.48,0.49,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
anger39,0.25,0,1.98,0,0,0,0,0,0,0.11,0.45,0.67,0,0.08,0.41,0.33,0.09,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
anger40,0.54,0,1.83,0,0,0,0,0,0,0.06,0.24,0.39,0,0.03,0.26,0.2,0.19,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
anger41,0.82,0,1.74,0,0,0,0,0,0,0,0,0.04,0,0,0.1,0,0.21,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
anger42,0.57,0,1.77,0,0.04,0.07,0,0,0,0.29,0,0.37,0.14,0.18,0,0.06,0.12,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
anger43,0.28,0,1.87,0,0.12,0.11,0,0,0,0.65,0,0.84,0.34,0.32,0,0.13,0.02,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
anger44,0,0,1.93,0,0.22,0.14,0,0,0,1.02,0,1.34,0.56,0.46,0,0.2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
anger45,0.31,0,1.45,0,0.17,0.07,0,0,0,0.73,0,1.18,0.41,0.27,0,0.14,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
anger46,0.57,0,0.99,0,0.09,0.03,0,0,0,0.37,0,0.86,0.22,0.13,0,0.07,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
anger47,0.79,0,0.57,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0.03,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
anger48,0.55,0.07,0.98,0,0,0.06,0,0,0,0.21,0,0.33,0.35,0,0.58,0.64,0.1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
anger49,0.36,0.14,1.28,0,0,0.06,0,0,0,0.43,0,0.18,0.67,0,1.24,1.31,0.1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
anger50,0.27,0.25,1.63,0,0,0.06,0,0,0,0.63,0,0,1.04,0,1.92,1.87,0.08,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
anger51,0.2,0.2,1.66,0,0,0.15,0,0,0,0.44,0.15,0,0.69,0,1.38,1.34,0.13,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
anger52,0.13,0.13,1.71,0,0,0.27,0,0,0,0.23,0.3,0,0.37,0,0.72,0.71,0.24,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
anger53,0.01,0.02,1.71,0,0,0.46,0,0,0,0.03,0.44,0,0,0,0.04,0.19,0.38,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
anger54,0.07,0,1.33,0,0,0.62,0,0,0,0,0.29,0.12,0,0.01,0,0.11,0.26,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
anger55,0.14,0,0.99,0,0,0.86,0,0,0.01,0,0.15,0.26,0,0.01,0,0.13,0.15,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
anger56,0.16,0,0.61,0,0,1.09,0.01,0,0.01,0,0,0.46,0,0.01,0,0.17,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
anger57,0.1,0,0.68,0,0,0.8,0.01,0,0.01,0,0,0.35,0,0,0,0.13,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
anger58,0.03,0,0.65,0,0,0.56,0.01,0,0,0,0,0.2,0,0,0,0.08,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
anger59,0,0,0.57,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
anger60,0,0,0.41,0.01,0,0.67,0,0,0,0,0,0.5,0,0.12,0.03,0.33,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
anger61,0,0,0.39,0.09,0,1.12,0,0,0,0,0,0.86,0,0.12,0.19,0.54,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
anger62,0,0,0.4,0.19,0,1.58,0.04,0,0,0,0,1.32,0,0.17,0.25,0.82,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
anger63,0,0,0.44,0.18,0,1.35,0.21,0,0,0,0.23,0.82,0,0.05,1.18,0.49,0.03,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
anger64,0,0,0.4,0.1,0,1.07,0.44,0,0,0,0.36,0.46,0,0.05,1.9,0.28,0.13,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
anger65,0,0,0.43,0,0,0.96,0.58,0,0,0,0.51,0,0,0,2.69,0,0.25,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
anger66,0,0,0.72,0,0,0.93,0.51,0,0,0,0.28,0.03,0,0,2.02,0.42,0.59,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
anger67,0,0,1.08,0,0,0.9,0.38,0,0,0,0.16,0.11,0,0,1.37,0.88,0.9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
anger68,0,0,1.38,0,0,0.76,0.31,0,0,0,0,0.13,0,0,0.84,1.36,1.18,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
anger69,0.38,0.3,1.69,0,0,0.73,0.21,0,0,0,0.06,0.14,0,0,0.86,1.45,0.94,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
anger70,0.74,0.54,1.95,0,0,0.71,0.11,0,0,0,0.06,0.06,0,0,0.87,1.42,0.66,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
anger71,1.1,0.75,2.26,0,0,0.71,0,0,0,0,0.06,0.07,0,0,0.79,1.51,0.45,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
anger72,0.72,0.45,2.2,0,0,1.01,0,0,0,0,0,0.32,0,0,0.49,1.45,0.33,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
anger73,0.36,0.2,2.14,0,0,1.25,0,0,0,0,0,0.6,0,0,0.24,1.43,0.2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
anger74,0,0,2.04,0,0,1.52,0,0,0,0,0,0.84,0,0,0,1.22,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
anger75,0,0,2.19,0,0,0.99,0.08,0,0,0.07,0,0.56,0.09,0,0.04,0.76,0.14,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
anger76,0,0,2.33,0,0,0.5,0.14,0,0,0.13,0,0.28,0.23,0,0.04,0.35,0.26,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1
anger77,0,0,2.5,0,0,0,0.19,0,0,0.17,0,0,0.32,0,0.04,0,0.36,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1
anger78,0,0,2.14,0,0.15,0.52,0.11,0,0.16,0.23,0,0.12,0.23,0.09,0.09,0,0.22,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1
anger79,0,0,1.83,0,0.32,0.95,0.07,0,0.32,0.35,0,0.19,0.1,0.09,0.27,0,0.09,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1
anger80,0,0,1.48,0,0.49,1.41,0.03,0,0.49,0.48,0,0.27,0,0.09,0.48,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1
anger81,0,0,1.15,0,0.34,1,0.02,0,0.33,0.34,0,0.58,0.24,0.16,0.53,0.23,0.15,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1
anger82,0.02,0,0.81,0,0.17,0.72,0.02,0,0.17,0.16,0,0.99,0.37,0.32,0.59,0.56,0.36,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1
anger83,0.02,0,0.47,0,0,0.34,0,0,0,0,0,1.41,0.56,0.53,0.69,0.9,0.54,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1
anger84,0.21,0.11,0.52,0,0.03,0.84,0,0,0,0,0.24,1.19,0.31,0.37,0.9,0.83,0.38,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1
